pkey,gender,age,birth_year,education,has_spouse_raw,has_child_raw,num_children,youngest_child_age,emp_status,work_style,contract_type,industry,firm_size,occupation,position,weekly_hours,annual_income,current_job_start_year,intention,ev_quit,ev_started_job
1,2,48,1976,5,1,1,2,2.0,1,1,2,5,4,9,3,33.0,217,1994,4,0,0
2,1,51,1973,3,1,1,1,18.0,1,1,2,10,1,8,3,45.0,92,1999,3,0,0
3,2,33,1991,5,2,2,0,,1,1,1,17,3,11,2,35.0,640,2015,4,0,0
4,2,37,1987,4,1,1,3,3.0,1,1,1,13,6,5,8,41.0,336,2005,2,0,0
5,1,60,1964,3,1,1,3,18.0,1,1,1,6,5,10,1,32.0,613,1992,3,0,0
6,2,57,1967,5,1,1,2,16.0,1,1,1,12,7,3,1,42.0,613,2020,4,0,0
7,2,39,1985,5,1,1,1,13.0,1,1,1,17,6,12,8,44.0,271,2021,4,0,0
8,2,32,1992,6,1,1,2,13.0,1,1,5,5,3,2,3,44.0,283,2014,4,0,0
9,1,35,1989,5,1,1,3,6.0,1,1,1,4,6,10,8,41.0,811,2007,4,0,0
10,1,44,1980,6,2,2,0,,1,1,1,1,7,2,3,36.0,345,2004,3,0,0
11,1,45,1979,5,1,2,0,,1,1,2,15,5,11,8,23.0,403,2024,2,1,1
12,2,30,1994,5,1,1,3,12.0,1,1,1,15,6,12,8,26.0,262,2012,4,0,0
13,2,25,1999,2,2,2,0,,1,1,1,8,4,10,8,33.0,498,2017,4,0,0
14,2,42,1982,5,1,1,2,2.0,1,1,1,15,7,10,8,42.0,668,2002,4,0,0
15,1,54,1970,3,1,1,2,16.0,1,1,4,12,2,6,1,32.0,539,2020,4,0,0
16,1,29,1995,3,1,1,3,17.0,1,1,1,17,3,3,1,29.0,376,2013,1,0,0
17,2,39,1985,4,1,1,3,12.0,1,1,2,16,2,12,2,48.0,794,2015,4,0,0
18,1,29,1995,6,2,2,0,,1,1,2,17,1,7,2,32.0,639,2013,4,0,0
19,2,32,1992,5,1,2,0,,1,1,1,7,5,10,8,36.0,491,2016,3,0,0
20,2,47,1977,6,2,2,0,,1,1,2,11,1,9,2,42.0,1103,2023,4,0,0
21,2,34,1990,7,1,1,1,0.0,1,1,1,3,2,9,8,33.0,446,2008,4,0,0
22,1,33,1991,6,1,1,3,12.0,1,1,1,16,6,5,8,36.0,634,2009,2,0,0
23,2,62,1962,3,1,1,1,0.0,1,1,1,6,2,6,3,40.0,379,2006,4,0,0
24,2,29,1995,6,1,1,1,3.0,1,1,5,8,7,6,2,42.0,672,2013,4,0,0
25,2,30,1994,6,2,2,0,,1,1,1,11,1,8,2,49.0,517,2012,4,0,0
26,1,60,1964,6,1,1,3,19.0,1,1,1,14,4,9,8,28.0,572,2011,4,0,0
27,1,45,1979,4,2,2,0,,1,1,4,13,1,3,8,22.0,831,2000,3,0,0
28,1,24,2000,3,2,2,0,,1,1,1,17,1,3,8,41.0,608,2018,1,0,0
29,1,39,1985,6,1,1,1,11.0,1,1,3,13,6,1,8,49.0,586,2015,4,0,0
30,2,45,1979,4,1,1,1,6.0,1,1,2,14,1,7,8,38.0,290,2023,4,0,0
31,2,33,1991,5,2,2,0,,1,1,1,10,7,9,3,38.0,484,2021,4,0,0
32,2,44,1980,5,2,2,0,,1,1,2,8,5,3,2,36.0,244,2023,4,0,0
33,1,48,1976,3,1,1,1,14.0,1,1,2,16,4,9,3,46.0,625,1997,4,0,0
34,1,33,1991,2,2,2,0,,1,1,1,7,7,1,8,36.0,583,2009,3,0,0
35,1,55,1969,7,1,1,1,8.0,1,1,5,11,3,11,8,36.0,357,2008,4,0,0
36,1,41,1983,6,1,1,2,12.0,1,1,4,5,3,9,8,39.0,728,2010,2,0,0
37,1,61,1963,6,1,2,0,,1,1,4,9,3,9,2,31.0,734,2014,4,0,0
38,1,26,1998,4,2,2,0,,1,1,2,7,5,9,3,42.0,465,2016,3,0,0
39,1,35,1989,4,1,2,0,,1,1,1,5,6,5,3,23.0,596,2021,3,0,0
40,2,51,1973,5,1,2,0,,1,1,1,14,4,12,1,45.0,283,2003,3,0,0
41,1,58,1966,5,1,1,1,9.0,1,1,1,14,2,9,8,43.0,399,1993,4,0,0
42,2,31,1993,2,1,1,2,14.0,1,1,1,12,7,3,2,44.0,219,2011,4,0,0
43,2,62,1962,5,1,2,0,,1,1,2,2,5,12,2,33.0,358,2010,4,0,0
44,1,30,1994,7,2,2,0,,1,1,2,5,6,9,8,47.0,356,2023,2,0,0
45,2,39,1985,5,1,2,0,,1,1,1,4,4,4,8,40.0,142,2014,3,0,0
46,2,35,1989,5,1,1,3,6.0,1,1,1,13,2,12,8,47.0,542,2014,4,0,0
47,1,39,1985,5,1,2,0,,1,1,2,16,7,3,8,40.0,586,2011,4,0,0
48,1,59,1965,3,1,1,2,14.0,1,1,1,7,5,8,8,43.0,416,2021,4,0,0
49,2,52,1972,4,1,1,1,5.0,1,1,4,6,3,9,1,37.0,84,2014,4,0,0
50,1,54,1970,5,1,1,1,12.0,1,1,2,10,6,12,8,29.0,349,1996,3,0,0
51,1,33,1991,5,1,1,3,15.0,1,1,1,17,1,7,8,36.0,205,2009,4,0,0
52,1,60,1964,5,1,1,2,11.0,1,1,1,7,7,12,3,42.0,330,2012,4,0,0
