pkey,gender,age,birth_year,education,has_spouse_raw,has_child_raw,num_children,youngest_child_age,emp_status,work_style,contract_type,industry,firm_size,occupation,position,weekly_hours,annual_income,current_job_start_year,intention,ev_quit,ev_started_job,year
1,2,45,1976,5,1,1,1,4.0,1,1,2,5,4,9,8,29.0,238,1994,1,0,0,2022
2,1,48,1973,3,1,1,2,7.0,1,1,2,10,1,8,1,43.0,82,1999,4,0,0,2022
3,2,30,1991,5,2,2,0,,1,1,1,17,3,11,8,52.0,676,2015,4,0,0,2022
4,2,34,1987,4,1,1,1,3.0,1,1,1,13,6,5,2,40.0,362,2005,1,0,0,2022
5,1,57,1964,3,1,1,3,6.0,1,1,1,6,5,10,8,38.0,541,1992,4,0,0,2022
6,2,54,1967,5,1,1,1,0.0,1,1,1,12,7,3,3,31.0,638,2020,4,0,0,2022
7,2,36,1985,5,1,1,3,18.0,1,1,1,17,6,12,8,38.0,231,2021,4,0,0,2022
8,2,29,1992,6,1,1,1,16.0,1,1,5,5,3,2,1,44.0,234,2014,2,0,0,2022
9,1,32,1989,5,1,1,2,5.0,1,1,1,4,6,10,2,40.0,732,2007,4,0,0,2022
10,1,41,1980,6,2,2,0,,1,1,1,1,7,2,2,36.0,423,2004,3,0,0,2022
11,1,42,1979,5,1,2,0,,1,1,2,15,5,11,3,48.0,336,2006,4,0,0,2022
12,2,27,1994,5,1,1,1,1.0,1,1,1,15,6,12,2,38.0,220,2012,4,0,0,2022
13,2,22,1999,2,2,2,0,,1,1,1,8,4,10,1,37.0,419,2017,4,0,0,2022
14,2,39,1982,5,1,1,3,2.0,1,1,1,15,7,10,8,41.0,657,2002,4,0,0,2022
15,1,51,1970,3,1,1,3,1.0,1,1,4,12,2,6,8,50.0,510,2020,2,0,0,2022
16,1,26,1995,3,1,1,1,18.0,1,1,1,17,3,3,8,39.0,427,2013,3,0,0,2022
17,2,36,1985,4,1,1,1,10.0,1,1,2,16,2,12,8,33.0,742,2015,4,0,0,2022
18,1,26,1995,6,2,2,0,,1,1,2,17,1,7,3,44.0,687,2013,1,0,0,2022
19,2,29,1992,5,1,2,0,,1,1,1,7,5,10,8,37.0,478,2016,3,0,0,2022
20,2,44,1977,6,2,2,0,,1,1,2,11,1,9,8,44.0,959,2019,3,0,0,2022
21,2,31,1990,7,1,1,2,11.0,1,1,1,3,2,9,1,24.0,382,2008,2,0,0,2022
22,1,30,1991,6,1,1,2,0.0,1,1,1,16,6,5,8,40.0,631,2009,4,0,0,2022
23,2,59,1962,3,1,1,1,14.0,1,1,1,6,2,6,8,38.0,348,2006,4,0,0,2022
24,2,26,1995,6,1,1,3,10.0,1,1,5,8,7,6,3,32.0,555,2013,4,0,0,2022
25,2,27,1994,6,2,2,0,,1,1,1,11,1,8,1,30.0,419,2012,3,0,0,2022
26,1,57,1964,6,1,1,1,14.0,1,1,1,14,4,9,8,38.0,553,2011,3,0,0,2022
27,1,42,1979,4,2,2,0,,1,1,4,13,1,3,3,31.0,944,2000,3,0,0,2022
28,1,21,2000,3,2,2,0,,1,1,1,17,1,3,3,16.0,581,2018,4,0,0,2022
29,1,36,1985,6,1,1,2,4.0,1,1,3,13,6,1,1,31.0,493,2015,3,0,0,2022
30,2,42,1979,4,1,1,1,5.0,1,1,2,14,1,7,1,30.0,278,2021,4,0,0,2022
31,2,30,1991,5,2,2,0,,1,1,1,10,7,9,8,40.0,490,2021,4,0,0,2022
32,2,41,1980,5,2,2,0,,1,1,2,8,5,3,8,30.0,242,2015,4,0,0,2022
33,1,45,1976,3,1,1,1,10.0,1,1,2,16,4,9,8,40.0,569,1997,4,0,0,2022
34,1,30,1991,2,2,2,0,,1,1,1,7,7,1,8,32.0,596,2009,3,0,0,2022
35,1,52,1969,7,1,1,1,0.0,1,1,5,11,3,11,2,46.0,376,2008,4,0,0,2022
36,1,38,1983,6,1,1,1,13.0,1,1,4,5,3,9,1,43.0,672,2010,3,0,0,2022
37,1,58,1963,6,1,2,0,,1,1,4,9,3,9,3,38.0,710,2014,4,0,0,2022
38,1,23,1998,4,2,2,0,,1,1,2,7,5,9,2,41.0,440,2016,1,0,0,2022
39,1,32,1989,4,1,2,0,,1,1,1,5,6,5,8,45.0,529,2021,3,0,0,2022
40,2,48,1973,5,1,2,0,,1,1,1,14,4,12,8,40.0,268,2003,3,0,0,2022
41,1,55,1966,5,1,1,3,3.0,1,1,1,14,2,9,2,41.0,357,1993,3,0,0,2022
42,2,28,1993,2,1,1,1,11.0,1,1,1,12,7,3,8,23.0,229,2011,3,0,0,2022
43,2,59,1962,5,1,2,0,,1,1,2,2,5,12,8,36.0,309,2010,3,0,0,2022
44,1,27,1994,7,2,2,0,,1,1,2,5,6,9,2,34.0,372,2012,3,0,0,2022
45,2,36,1985,5,1,2,0,,1,1,1,4,4,4,8,48.0,123,2014,3,0,0,2022
46,2,32,1989,5,1,1,3,5.0,1,1,1,13,2,12,8,37.0,554,2014,3,0,0,2022
47,1,36,1985,5,1,2,0,,1,1,2,16,7,3,8,35.0,581,2011,4,0,0,2022
48,1,56,1965,3,1,1,1,8.0,1,1,1,7,5,8,8,45.0,418,2021,3,0,0,2022
49,2,49,1972,4,1,1,2,7.0,1,1,4,6,3,9,8,28.0,80,2014,4,0,0,2022
50,1,51,1970,5,1,1,2,4.0,1,1,2,10,6,12,8,39.0,345,1996,4,0,0,2022
51,1,30,1991,5,1,1,3,13.0,1,1,1,17,1,7,8,24.0,184,2009,2,0,0,2022
52,1,57,1964,5,1,1,3,0.0,1,1,1,7,7,12,2,34.0,312,2012,3,0,0,2022
53,2,37,1984,6,1,1,3,18.0,1,1,2,5,5,4,8,36.0,685,2012,4,0,0,2022
54,2,46,1975,4,1,1,3,19.0,1,1,1,9,5,10,2,52.0,83,2011,3,0,0,2022
55,2,47,1974,2,1,2,0,,1,1,3,16,1,3,8,39.0,252,2018,3,0,0,2022
56,2,46,1975,2,2,2,0,,1,1,1,13,2,12,8,33.0,609,2017,4,0,0,2022
57,1,44,1977,3,1,2,0,,1,1,1,9,6,10,1,39.0,317,1995,3,0,0,2022
58,2,39,1982,5,2,2,0,,1,1,1,13,4,8,8,52.0,286,2001,4,0,0,2022
59,1,45,1976,6,1,2,0,,1,1,2,1,1,1,1,24.0,819,2001,4,0,0,2022
60,1,56,1965,6,1,2,0,,1,1,5,13,5,6,2,46.0,486,2013,4,0,0,2022
61,2,35,1986,5,1,1,2,0.0,1,1,4,2,6,2,8,43.0,627,2004,4,0,0,2022
62,1,40,1981,5,1,1,1,0.0,1,1,1,7,2,12,8,39.0,492,2016,3,0,0,2022
63,2,27,1994,4,1,2,0,,1,1,3,6,5,5,3,38.0,455,2012,2,0,0,2022
64,2,34,1987,5,1,1,3,3.0,1,1,1,12,7,10,8,51.0,658,2006,4,0,0,2022
65,2,50,1971,5,1,2,0,,1,1,1,5,4,11,8,46.0,773,2012,4,0,0,2022
66,2,45,1976,6,1,1,1,17.0,1,1,4,5,2,2,8,32.0,126,1999,4,0,0,2022
67,2,28,1993,5,2,2,0,,1,1,1,16,7,10,8,40.0,474,2011,2,0,0,2022
68,1,41,1980,4,2,2,0,,1,1,4,9,7,4,8,50.0,416,2013,1,0,0,2022
69,1,52,1969,4,1,2,0,,1,1,1,13,4,2,3,44.0,358,2001,4,0,0,2022
70,1,24,1997,3,2,2,0,,1,1,1,10,3,4,8,42.0,577,2015,3,0,0,2022
